IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT
421 4 0 0 1428.595117 -510.000000 11 99.974102 0.560000 1498 1498 0.000000
421 1 0 0 1338.569219 -700.000000 12 99.974102 0.560000 1498 1498 0.000000
421 9 0 0 1093.698711 -445.000000 7 99.974102 0.560000 1498 1498 0.000000
421 2 0 0 1635.920976 -902.518750 17 99.974102 0.560000 1498 1498 0.000000
421 26 0 0 748.250830 -90.629170 0 99.974102 0.560000 1498 1498 0.000000
421 5 0 0 1456.154062 -182.518750 8 99.974102 0.560000 1498 1498 0.000000
421 3 0 0 1576.076367 -362.518750 11 99.974102 0.560000 1498 1498 0.000000
421 23 0 0 1515.998672 -722.518750 14 99.974102 0.560000 1498 1498 0.000000
421 15 0 0 1253.517422 -985.000000 14 99.974102 0.560000 1498 1498 0.000000
421 25 0 0 1633.571914 -105.075000 9 99.974102 0.560000 1498 1498 0.000000
421 12 0 0 1003.750508 -335.000000 5 99.974102 0.560000 1498 1498 0.000000
421 14 0 0 1308.595117 -630.000000 11 99.974102 0.560000 1498 1498 0.000000
481 17 0 0 1738.646914 0.000000 9 99.974102 0.560000 1498 1498 0.000000
481 20 0 0 1438.724609 0.000000 6 99.974102 0.560000 1498 1498 0.000000
481 11 0 0 1038.828203 0.000000 2 99.974102 0.560000 1498 1498 0.000000
481 27 0 0 823.880000 -15.000000 0 99.974102 0.560000 1498 1498 0.000000
481 19 0 0 823.880000 -15.000000 0 99.974102 0.560000 1498 1498 0.000000
481 14 0 0 1293.595117 -645.000000 11 99.974102 0.560000 1498 1498 0.000000
481 12 0 0 988.750508 -350.000000 5 99.974102 0.560000 1498 1498 0.000000
481 25 0 0 1603.571914 -135.075000 9 99.974102 0.560000 1498 1498 0.000000
481 15 0 0 1248.491523 -1090.000000 15 99.974102 0.560000 1498 1498 0.000000
481 23 0 0 1495.972773 -842.518750 15 99.974102 0.560000 1498 1498 0.000000
481 3 0 0 1516.076367 -422.518750 11 99.974102 0.560000 1498 1498 0.000000
481 5 0 0 1426.154062 -212.518750 8 99.974102 0.560000 1498 1498 0.000000
481 26 0 0 733.250830 -105.629170 0 99.974102 0.560000 1498 1498 0.000000
481 2 0 0 1585.895078 -1052.518750 18 99.974102 0.560000 1498 1498 0.000000
481 9 0 0 1078.698711 -460.000000 7 99.974102 0.560000 1498 1498 0.000000
481 1 0 0 1378.543320 -760.000000 13 99.974102 0.560000 1498 1498 0.000000
481 4 0 0 1398.595117 -540.000000 11 99.974102 0.560000 1498 1498 0.000000
481 22 0 0 1148.672812 -490.000000 8 99.974102 0.560000 1498 1498 0.000000
481 29 0 0 1103.517422 -1135.000000 14 99.974102 0.560000 1498 1498 0.000000
481 13 0 0 998.724609 -440.000000 6 99.974102 0.560000 1498 1498 0.000000
481 16 0 0 1398.543320 -740.000000 13 99.974102 0.560000 1498 1498 0.000000
481 10 0 0 1293.336133 -1645.000000 21 99.974102 0.560000 1498 1498 0.000000
481 7 0 0 1413.595117 -525.000000 11 99.974102 0.560000 1498 1498 0.000000
481 24 0 0 1143.595117 -795.000000 11 99.974102 0.560000 1498 1498 0.000000
481 6 0 0 1153.491523 -1185.000000 15 99.974102 0.560000 1498 1498 0.000000
481 21 0 0 1051.246055 -87.556250 3 99.974102 0.560000 1498 1498 0.000000
481 8 0 0 1518.310234 -1520.000000 22 99.974102 0.560000 1498 1498 0.000000
481 30 0 0 1138.439726 -1400.000000 17 99.974102 0.560000 1498 1498 0.000000
481 28 0 0 1258.477357 -880.065963 13 99.974102 0.560000 1498 1498 0.000000
481 18 0 0 1268.675508 -70.075000 5 99.974102 0.560000 1498 1498 0.000000
541 18 0 0 1338.750508 0.000000 5 99.974102 0.560000 1498 1498 0.000000
541 21 0 0 1138.802305 0.000000 3 99.974102 0.560000 1498 1498 0.000000
541 16 0 0 2238.517422 0.000000 14 99.974102 0.560000 1498 1498 0.000000
541 26 0 0 838.880000 0.000000 0 99.974102 0.560000 1498 1498 0.000000
541 5 0 0 1738.646914 0.000000 9 99.974102 0.560000 1498 1498 0.000000
541 25 0 0 1838.621016 0.000000 10 99.974102 0.560000 1498 1498 0.000000
541 19 0 0 838.880000 0.000000 0 99.974102 0.560000 1498 1498 0.000000
541 27 0 0 838.880000 0.000000 0 99.974102 0.560000 1498 1498 0.000000
541 17 0 0 1808.621016 -30.000000 10 99.974102 0.560000 1498 1498 0.000000
541 20 0 0 1423.724609 -15.000000 6 99.974102 0.560000 1498 1498 0.000000
541 11 0 0 1023.828203 -15.000000 2 99.974102 0.560000 1498 1498 0.000000
541 28 0 0 1138.477357 -1000.065963 13 99.974102 0.560000 1498 1498 0.000000
541 2 0 0 1655.843281 -1182.518750 20 99.974102 0.560000 1498 1498 0.000000
541 10 0 0 1403.258437 -1835.000000 24 99.974102 0.560000 1498 1498 0.000000
541 29 0 0 1183.465625 -1255.000000 16 99.974102 0.560000 1498 1498 0.000000
541 30 0 0 1088.413828 -1550.000000 18 99.974102 0.560000 1498 1498 0.000000
541 8 0 0 1668.232539 -1670.000000 25 99.974102 0.560000 1498 1498 0.000000
541 6 0 0 1133.465625 -1305.000000 16 99.974102 0.560000 1498 1498 0.000000
541 24 0 0 1068.595117 -870.000000 11 99.974102 0.560000 1498 1498 0.000000
541 7 0 0 1383.595117 -555.000000 11 99.974102 0.560000 1498 1498 0.000000
541 13 0 0 983.724609 -455.000000 6 99.974102 0.560000 1498 1498 0.000000
541 22 0 0 1118.672812 -520.000000 8 99.974102 0.560000 1498 1498 0.000000
541 4 0 0 1468.569219 -570.000000 12 99.974102 0.560000 1498 1498 0.000000
541 1 0 0 1318.543320 -820.000000 13 99.974102 0.560000 1498 1498 0.000000
541 9 0 0 1063.698711 -475.000000 7 99.974102 0.560000 1498 1498 0.000000
541 3 0 0 1556.050469 -482.518750 12 99.974102 0.560000 1498 1498 0.000000
541 23 0 0 1475.946875 -962.518750 16 99.974102 0.560000 1498 1498 0.000000
541 15 0 0 1343.439726 -1195.000000 17 99.974102 0.560000 1498 1498 0.000000
541 12 0 0 973.750508 -365.000000 5 99.974102 0.560000 1498 1498 0.000000
541 14 0 0 1278.595117 -660.000000 11 99.974102 0.560000 1498 1498 0.000000
601 2 0 0 3038.310234 0.000000 22 99.974102 0.560000 1498 1498 0.000000
601 12 0 0 1338.750508 0.000000 5 99.974102 0.560000 1498 1498 0.000000
601 13 0 0 1438.724609 0.000000 6 99.974102 0.560000 1498 1498 0.000000
601 11 0 0 1038.828203 0.000000 2 99.974102 0.560000 1498 1498 0.000000
601 20 0 0 1438.724609 0.000000 6 99.974102 0.560000 1498 1498 0.000000
601 17 0 0 1838.621016 0.000000 10 99.974102 0.560000 1498 1498 0.000000
601 18 0 0 1308.750508 -30.000000 5 99.974102 0.560000 1498 1498 0.000000
601 21 0 0 1123.802305 -15.000000 3 99.974102 0.560000 1498 1498 0.000000
601 16 0 0 2178.517422 -60.000000 14 99.974102 0.560000 1498 1498 0.000000
601 26 0 0 823.880000 -15.000000 0 99.974102 0.560000 1498 1498 0.000000
601 5 0 0 1708.646914 -30.000000 9 99.974102 0.560000 1498 1498 0.000000
