IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
721 9 0 0 0 0.000000 0 0 2434.075101 0.000000 10765 0.006480 0.560000 4222 4222 1947.833333 486.241768
721 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006527 0.560000 2548 2548 1175.416667 251.463333
721 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006533 0.560000 5095 5095 2350.833333 502.366667
721 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006559 0.560000 4950 4950 2394.089484 377.910516
781 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006648 0.560000 5095 5095 2350.833333 502.366667
781 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006661 0.560000 3276 3276 1511.250000 323.310000
781 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006610 0.560000 4149 4149 1914.250000 409.190000
781 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.006611 0.560000 4076 4076 1880.666667 401.893333
781 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006622 0.560000 4222 4222 1947.833333 416.486667
781 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006628 0.560000 4950 4950 2394.089484 377.910516
781 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006596 0.560000 2548 2548 1175.416667 251.463333
781 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006662 0.560000 3567 3567 1645.583333 351.936667
781 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006621 0.560000 4222 4222 1965.792754 398.527246
781 12 0 0 0 0.000000 0 0 2649.360000 0.000000 0 0.006621 0.560000 4731 4731 2278.701652 370.658348
781 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006656 0.560000 3348 3348 1544.833333 330.046667
781 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006621 0.560000 3931 3931 1836.521734 364.838266
841 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006779 0.560000 3931 3931 1836.521734 364.838266
841 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.006771 0.560000 4076 4076 1880.666667 401.893333
841 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006803 0.560000 5095 5095 2350.833333 502.366667
841 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006781 0.560000 4731 4731 2278.701652 370.658348
841 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006778 0.560000 4149 4149 1914.250000 409.190000
841 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006744 0.560000 3276 3276 1511.250000 323.310000
841 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006746 0.560000 3567 3567 1645.583333 351.936667
841 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006781 0.560000 4222 4222 1947.833333 416.486667
841 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006788 0.560000 4950 4950 2394.089484 377.910516
841 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006757 0.560000 2548 2548 1175.416667 251.463333
841 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006781 0.560000 4222 4222 1965.792754 398.527246
841 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006740 0.560000 3348 3348 1544.833333 330.046667
901 13 1 1 0 0.000000 0 0 2926.023114 0.000000 22412 0.006872 0.560000 4950 4950 2405.621555 520.401558
901 4 1 1 0 0.000000 0 0 2440.603799 0.000000 23051 0.006856 0.560000 4076 4076 1884.905130 555.698670
901 12 0 0 0 0.000000 0 0 2789.283059 -0.000000 20379 0.006866 0.560000 4731 4731 2278.701652 510.581407
901 7 0 0 0 0.000000 0 0 2869.897030 0.000000 2426 0.006883 0.560000 5095 5095 2350.833333 519.063697
901 10 0 0 0 0.000000 0 0 1438.084141 0.000000 1638 0.006840 0.560000 2548 2548 1175.416667 262.667475
901 11 0 0 0 0.000000 0 0 2389.023423 0.000000 3600 0.006862 0.560000 4222 4222 1965.792754 423.230669
901 8 0 0 0 0.000000 0 0 1939.220847 0.000000 15170 0.006899 0.560000 3276 3276 1511.250000 427.970847
901 5 0 0 0 0.000000 0 0 2057.583827 -0.000000 8794 0.006830 0.560000 3567 3567 1645.583333 412.000494
901 15 0 0 0 0.000000 0 0 2004.940138 -0.000000 19060 0.006824 0.560000 3348 3348 1544.833333 460.106804
901 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006863 0.560000 4222 4222 1947.833333 416.486667
