IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
2501 2 5.208586 22 28 0 34 1 19 138.409038
2501 3 5.204630 16 13 0 32 1 9 138.409038
2501 1 5.203531 13 18 0 30 1 12 138.409038
2521 3 5.204630 13 16 0 33 1 11 138.409038
2521 2 5.210230 28 13 0 35 1 9 138.409038
2521 1 5.210230 18 22 0 31 1 15 138.409038
2541 2 5.210230 13 16 0 36 1 11 138.409038
2541 3 5.212125 16 29 0 34 1 20 138.409038
2541 1 5.212125 22 16 0 32 1 11 138.409038
2561 3 5.209704 29 28 0 36 2 19 138.409038
2561 2 5.209704 16 23 0 38 2 16 138.409038
2561 1 5.212125 16 10 0 34 2 7 138.409038
2581 3 5.209704 28 20 0 37 1 14 138.409038
2581 2 5.208925 23 13 0 39 1 9 138.409038
2581 1 5.212125 10 23 0 34 0 16 138.409038
2601 1 5.207517 23 23 0 35 1 16 138.409038
2601 3 5.209704 20 23 0 38 1 16 138.409038
2601 2 5.208925 13 29 0 40 1 20 138.409038
2621 1 5.207517 23 10 0 36 1 7 138.409038
2621 2 5.206183 29 19 0 41 1 13 138.409038
2621 3 5.206183 23 15 0 39 1 10 138.409038
2641 3 5.206183 15 22 0 40 1 15 138.409038
2641 1 5.207517 10 10 0 37 1 7 138.409038
2641 2 5.206183 19 15 0 43 2 10 138.409038
2661 1 5.207517 10 9 0 38 1 6 138.409038
2661 3 5.212343 22 20 0 41 1 14 138.409038
2661 2 5.206183 15 25 0 44 1 17 138.409038
2681 3 5.212343 20 12 0 42 1 8 138.409038
2681 1 5.207517 9 25 0 38 0 17 138.409038
2681 2 5.213779 25 23 0 45 1 16 138.409038
2701 1 5.218487 25 8 0 41 3 5 138.409038
2701 3 5.212343 12 22 0 43 1 15 138.409038
2701 2 5.213779 23 19 0 46 1 13 138.409038
2721 1 5.218487 8 10 0 41 0 7 138.409038
2721 3 5.222204 22 10 0 45 2 7 138.409038
2721 2 5.213779 19 26 0 46 0 18 138.409038
2741 3 5.222204 10 10 0 45 0 7 138.409038
2741 1 5.223367 10 16 0 42 1 11 138.409038
2741 2 5.223367 26 18 0 48 2 12 138.409038
2761 2 5.223367 18 29 0 50 2 20 138.409038
2761 1 5.225252 16 15 0 43 1 10 138.409038
2761 3 5.222204 10 12 0 46 1 8 138.409038
2781 3 5.225056 12 16 0 47 1 11 138.409038
2781 2 5.225056 29 22 0 52 2 15 138.409038
